_id,fullAddress,type,provinceCode,districtCode,villageCode,createdAt,updatedAt,__v,fullAddressCode
{'$oid': '5f9eb792bfeb451c3940062c'},An Giang,1,an-giang,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,an giang
{'$oid': '5f9eb793bfeb451c3940062d'},Bà Rịa - Vũng Tàu,1,ba-ria-vung-tau,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,ba ria vung tau
{'$oid': '5f9eb793bfeb451c3940062e'},Bắc Giang,1,bac-giang,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,bac giang
{'$oid': '5f9eb793bfeb451c3940062f'},Bắc Kạn,1,bac-kan,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,bac kan
{'$oid': '5f9eb793bfeb451c39400630'},Bạc Liêu,1,bac-lieu,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,bac lieu
{'$oid': '5f9eb794bfeb451c39400631'},Bắc Ninh,1,bac-ninh,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,bac ninh
{'$oid': '5f9eb794bfeb451c39400632'},Bến Tre,1,ben-tre,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,ben tre
{'$oid': '5f9eb794bfeb451c39400633'},Bình Định,1,binh-dinh,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,binh dinh
{'$oid': '5f9eb794bfeb451c39400634'},Bình Dương,1,binh-duong,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,binh duong
{'$oid': '5f9eb795bfeb451c39400635'},Bình Phước,1,binh-phuoc,,,{'$date': '2020-09-05T06:52:28.458Z'},{'$date': '2020-09-05T06:52:28.458Z'},0,binh phuoc
