serial,province,provinceID,district,districtID,pro_districtID,village,villageID,dis_villageID
1,An Giang,805,Quận Ba Đình,10101,101,Phường Phúc Xá,1010101,10101
2,Bà Rịa - Vũng Tàu,717,Quận Tây Hồ,10103,101,Phường Trúc Bạch,1010103,10101
3,Bắc Giang,221,Quận Hoàn Kiếm,10105,101,Phường Vĩnh Phúc,1010105,10101
4,Bắc Kạn,207,Quận Long Biên,10106,101,Phường Cống Vị,1010107,10101
5,Bạc Liêu,821,Quận Hai Bà Trưng,10107,101,Phường Liễu Giai,1010109,10101
6,Bắc Ninh,223,Quận Hoàng Mai,10108,101,Phường Nguyễn Trung Trực,1010111,10101
7,Bến Tre,811,Quận Đống đa,10109,101,Phường Ngọc Hà,1010113,10101
8,Bình Định,507,Quận Thanh Xuân,10111,101,Phường Đội Cấn,1010115,10101
9,Bình Dương,711,Quận Cầu Giấy,10113,101,Phường Kim Mã,1010117,10101
10,Bình Phước,707,Huyện Sóc sơn,10115,101,Phường Giảng Võ,1010119,10101
11,Bình Thuận,715,Huyện Đông Anh,10117,101,Phường Thành Công,1010121,10101
12,Cà Mau,823,Huyện Gia Lâm,10119,101,Phường Điện Biên,1010123,10101
13,Cần Thơ,815,Huyện Từ Liêm,10121,101,Phường Quán Thánh,1010125,10101
14,Cao Bằng,203,Huyện Thanh Trì,10123,101,Phường Ngọc Khánh,1010127,10101
15,Đà Nẵng,501,Huyện Mê Linh,10125,101,Phường Nhật Tân,1010301,10103
16,Đắk Lắk,605,Quận Hà Đông,10127,101,Phường Tứ Liên,1010303,10103
17,Đắk Nông,606,Thị xã Sơn Tây,10129,101,Phường Quảng An,1010305,10103
18,Điện Biên,301,Huyện Phúc Thọ,10131,101,Phường Xuân La,1010307,10103
19,Đồng Nai,713,Huyện Đan Phượng,10133,101,Phường Bưởi,1010309,10103
20,Đồng Tháp,803,Huyện Thạch Thất,10135,101,Phường Thuỵ Khuê,1010311,10103
21,Gia Lai,603,Huyện Hoài Đức,10137,101,Phường Phú Thượng,1010313,10103
22,Hà Giang,201,Huyện Quốc Oai,10139,101,Phường Yên Phụ,1010315,10103
23,Hà Nam,111,Huyện Thanh Oai,10141,101,Phường Phúc Tân,1010501,10105
24,Hà Nội,101,Huyện Thường Tín,10143,101,Phường Hàng Mã,1010503,10105
25,Hà Tĩnh,405,Huyện Mỹ Đức,10145,101,Phường Hàng Buồm,1010505,10105
26,Hải Dương,107,Huyện ứng Hoà,10147,101,Phường Hàng Đào,1010507,10105
27,Hải Phòng,103,Huyện Phú Xuyên,10149,101,Phường Hàng Bồ,1010509,10105
28,Hậu Giang,816,Huyện Ba Vì,10151,101,Phường Lý Thái Tổ,1010511,10105
29,Hòa Bình,305,Huyện Chương Mỹ,10153,101,Phường Hàng Bạc,1010513,10105
30,Hưng Yên,109,Quận Nam Từ Liêm,10155,101,Phường Chương Dương,1010515,10105
31,Khánh Hòa,511,Quận Bắc Từ Liêm,10157,101,Phường Hàng Trống,1010517,10105
32,Kiên Giang,813,Quận Hồng Bàng,10301,103,Phường Cửa Nam,1010519,10105
33,Kon Tum,601,Quận Ngô Quyền,10303,103,Phường Trần Hưng Đạo,1010521,10105
34,Lai Châu,302,Quận Hải An,10304,103,Phường Phan Chu Trinh,1010523,10105
35,Lâm Đồng,703,Quận Lê Chân,10305,103,Phường Hàng Bài,1010525,10105
