gps,is_promoted,hash,title,brand,address,category,rating,description,img,img_big,no_image,phone,email,facebook,url,count_reviews,photos,province,provinceCode,district,districtCode,village,villageCode,street,streetCode
"{""latitude"":19.27959,""longitude"":105.72032}",,2644360991589356,Trường tiểu học A Thị trấn Hoàng Mai,,"P. Quỳnh Thiện, Thị xã Hoàng Mai, T. Nghệ An",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,(84-238) 3 866 509,,,,0,[],Nghệ An,nghe-an,Thị xã Hoàng Mai,thi-xa-hoang-mai,Phường Quỳnh Thiện,phuong-quynh-thien,T. Nghệ An,t.-nghe-an
"{""latitude"":19.27959,""longitude"":105.72032}",,75487518589355,Trường tiểu học B Thị trấn Hoàng Mai,,"P. Quỳnh Thiện, Thị xã Hoàng Mai, T. Nghệ An",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,(84-238) 3 664 274,,,,0,[],Nghệ An,nghe-an,Thị xã Hoàng Mai,thi-xa-hoang-mai,Phường Quỳnh Thiện,phuong-quynh-thien,T. Nghệ An,t.-nghe-an
"{""latitude"":21.190654,""longitude"":105.613862}",,3234692571017066,Trường tiểu học Trung Kiên,,"Xã Trung Kiên, H. Yên Lạc, T. Vĩnh Phúc",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,,,,,0,[],Vĩnh Phúc,vinh-phuc,Huyện Yên Lạc,huyen-yen-lac,Xã Trung Kiên,xa-trung-kien,T. Vĩnh Phúc,t.-vinh-phuc
"{""latitude"":21.191344,""longitude"":105.614602}",,36502824631017038,Trường THCS Trung Kiên,,"Xã Trung Kiên, H. Yên Lạc, T. Vĩnh Phúc",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,,,,,0,[],Vĩnh Phúc,vinh-phuc,Huyện Yên Lạc,huyen-yen-lac,Xã Trung Kiên,xa-trung-kien,T. Vĩnh Phúc,t.-vinh-phuc
"{""latitude"":20.2796999,""longitude"":105.677857}",,41948360761099018,Trường Tiểu học Cúc Phương,,"Xã Cúc Phương, H. Nho Quan, T. Ninh Bình",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,(84-30) 3 848 025,,,,0,[],Ninh Bình,ninh-binh,Huyện Nho Quan,huyen-nho-quan,Xã Cúc Phương,xa-cuc-phuong,T. Ninh Bình,t.-ninh-binh
"{""latitude"":19.3682399,""longitude"":105.756642}",,32303597861040364,Trường Tiểu học Mai Lâm,,"Xã Mai Lâm, H. Tĩnh Gia, T. Thanh Hóa",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,,,,,0,[],Thanh Hóa,thanh-hoa,Huyện Tĩnh Gia,huyen-tinh-gia,Xã Mai Lâm,xa-mai-lam,T. Thanh Hóa,t.-thanh-hoa
"{""latitude"":20.278701,""longitude"":105.743919}",,9986871481099019,Trường Tiểu học Văn Phương,,"Xã Văn Phương, H. Nho Quan, T. Ninh Bình",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,,,,,0,[],Ninh Bình,ninh-binh,Huyện Nho Quan,huyen-nho-quan,Xã Văn Phương,xa-van-phuong,T. Ninh Bình,t.-ninh-binh
"{""latitude"":20.278701,""longitude"":105.743919}",,31659828831098989,Trường THCS Văn Phương,,"Xã Văn Phương, H. Nho Quan, T. Ninh Bình",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,(84-30) 3 866 442,,,,0,[],Ninh Bình,ninh-binh,Huyện Nho Quan,huyen-nho-quan,Xã Văn Phương,xa-van-phuong,T. Ninh Bình,t.-ninh-binh
"{""latitude"":19.3675465,""longitude"":105.7765656}",,13790426211040338,Trường THCS Tĩnh Hải,,"Xã Tĩnh Hải, H. Tĩnh Gia, T. Thanh Hóa",Giáo dục,0.0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1.0,(84-37) 3 862 076,,,,0,[],Thanh Hóa,thanh-hoa,Huyện Tĩnh Gia,huyen-tinh-gia,Xã Tĩnh Hải,xa-tinh-hai,T. Thanh Hóa,t.-thanh-hoa
"{""latitude"":21.1910616667,""longitude"":106.077551389}",,1374250105252078,Trường mầm non Việt Đan,,"112, Suối Hoa, P. Vũ Ninh, Thành phố Bắc Ninh, T. Bắc Ninh",Giáo dục,0.0,,//poipic3.coccoc.com/80x80/poi/previews/20120809/p1_1344498603935230bf959d8c8877f2a14da0b9efae1dee.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20120809/p1_1344498603935230bf959d8c8877f2a14da0b9efae1dee.jpg,,(84-241) 3 822 164; (84-241) 3 571 189,,,,0,[],Bắc Ninh,bac-ninh,Thành phố Bắc Ninh,thanh-pho-bac-ninh,Phường Vũ Ninh,phuong-vu-ninh,Suối Hoa,suoi-hoa
