gps,is_promoted,hash,title,brand,address,category,rating,description,img,img_big,no_image,phone,email,facebook,url,count_reviews,photos
"{""latitude"":10.655676,""longitude"":106.554603}",,2.36E+16,Trường THCS Nguyễn Văn Hiển,,"Ấp 5, Xã Mỹ Yên, H. Bến Lức, T. Long An",Giáo dục,0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1,(84-90) 9 686 813,,,,0,[]
"{""latitude"":10.405683,""longitude"":106.578348}",,1.41E+16,Trường tiểu học Đồng Sơn 1,,"Ấp Thạnh Thới, Xã Đồng Sơn, H. Gò Công Tây, T. Tiền Giang",Giáo dục,0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1,(84-73) 3 996 044,,,,0,[]
"{""latitude"":10.90616,""longitude"":106.885192}",,5.73E+14,Trường cao đẳng công nghệ & quản trị Sonadezi,,"1, Đường số 6A, P. Long Bình Tân, Thành phố Biên Hòa, T. Đồng Nai",Giáo dục,0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1,(84-61) 3 994 011,onadeziedu@vnn.vn,,http://sonadezi.edu.vn/,0,[]
"{""latitude"":10.404966,""longitude"":106.670455}",,1.71E+16,﻿Trường THCS Tân Trung,,"Ấp Ông Non, Xã Tân Trung, Thị xã Gò Công, T. Tiền Giang",Giáo dục,0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1,(84-73) 3 555 078,,,http://thcstantrungtxgc.tiengiang.edu.vn/,0,[]
"{""latitude"":10.9062201076,""longitude"":106.599622965}",,3.10E+16,Trung tâm toán trí tuệ Superbrain,,"16, Đỗ Văn Dậy, Xã Tân Hiệp, H. Hóc Môn, Tp. Hồ Chí Minh",Giáo dục,0,,//poipic.coccoc.com/80x80/poi/previews/10.png,//poipic1.coccoc.com/1000x750/poi/previews/10.png,1,(84-28) 22 212 380; (84-168) 8 312 380,contact@superbrain.vn,http://facebook.com/superbrainvietnam,http://superbrain.edu.vn/,0,[]
"{""latitude"":10.90566444,""longitude"":106.59962463}",,3.50E+16,Trường mầm non Tân Hòa,,"Đỗ Văn Dậy, Xã Tân Hiệp, H. Hóc Môn, Tp. Hồ Chí Minh",Giáo dục,0,,//poipic2.coccoc.com/80x80/poi/previews/20141225/5044-f4033e57eba52da163310bfaaac57d32.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20141225/5044-f4033e57eba52da163310bfaaac57d32.jpg,,,,,,0,[]
"{""latitude"":10.9057827,""longitude"":106.63903809}",,6.30E+15,Anh ngữ Châu Á,,"59, Đặng Thúc Vịnh, Xã Đông Thạnh, H. Hóc Môn, Tp. Hồ Chí Minh",Giáo dục,0,,//poipic5.coccoc.com/80x80/poi/previews/20160621/11799-6060a1b744af2ddf13938bfff35ab6ec.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20160621/11799-6060a1b744af2ddf13938bfff35ab6ec.jpg,,(84-90) 8 494 959,achauenglish@gmail.com,,http://achauenglish.edu.vn/,0,[]
"{""latitude"":10.90639973,""longitude"":106.64012909}",,1.37E+15,Trường mầm non Sơn Ca,,"15, Đặng Thúc Vịnh, Xã Đông Thạnh, H. Hóc Môn, Tp. Hồ Chí Minh",Giáo dục,0,,//poipic4.coccoc.com/80x80/poi/previews/20181017/26913-90af0d74e005ebbdfe63630ebf00bffd.jpg,//poipic.coccoc.com/1000x750/poi/previews/20181017/26913-90af0d74e005ebbdfe63630ebf00bffd.jpg,,,,,,0,[]
"{""latitude"":10.90603924,""longitude"":106.64385986}",,3.87E+16,Anh ngữ Á Châu,,"119, Lê Văn Khương, Xã Đông Thạnh, H. Hóc Môn, Tp. Hồ Chí Minh",Giáo dục,0,,//poipic5.coccoc.com/80x80/poi/previews/20181017/26914-ca157ed0fe0262eb2ba5f83e0e52ebbb.jpg,//poipic1.coccoc.com/1000x750/poi/previews/20181017/26914-ca157ed0fe0262eb2ba5f83e0e52ebbb.jpg,,(84-28) 62 771 493,,,http://achauenglish.edu.vn/,0,[]
"{""latitude"":10.90702534,""longitude"":106.64945984}",,1.35E+15,Mầm non Bảo Như,,"3/7, Hương lộ 80B, Xã Đông Thạnh, H. Hóc Môn, Tp. Hồ Chí Minh",Giáo dục,0,,//poipic3.coccoc.com/80x80/poi/previews/20160620/11792-fab0b792542d0d14959cdfc7cf29a693.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20160620/11792-fab0b792542d0d14959cdfc7cf29a693.jpg,,(84-93) 8 189 137; (84-98) 5 351 206,,,,0,[]
