serial,province,provinceID,district,districtID,pro_districtID,village,villageID,dis_villageID,provinceCode,districtCode,villageCode,pro_districtCode,dis_villageCode
1.0,An Giang,805.0,Quận Ba Đình,10101.0,101.0,Phường Phúc Xá,1010101,10101,an-giang,quan-ba-dinh,phuong-phuc-xa,ha-noi,quan-ba-dinh
2.0,Bà Rịa - Vũng Tàu,717.0,Quận Tây Hồ,10103.0,101.0,Phường Trúc Bạch,1010103,10101,ba-ria-vung-tau,quan-tay-ho,phuong-truc-bach,ha-noi,quan-ba-dinh
3.0,Bắc Giang,221.0,Quận Hoàn Kiếm,10105.0,101.0,Phường Vĩnh Phúc,1010105,10101,bac-giang,quan-hoan-kiem,phuong-vinh-phuc,ha-noi,quan-ba-dinh
4.0,Bắc Kạn,207.0,Quận Long Biên,10106.0,101.0,Phường Cống Vị,1010107,10101,bac-kan,quan-long-bien,phuong-cong-vi,ha-noi,quan-ba-dinh
5.0,Bạc Liêu,821.0,Quận Hai Bà Trưng,10107.0,101.0,Phường Liễu Giai,1010109,10101,bac-lieu,quan-hai-ba-trung,phuong-lieu-giai,ha-noi,quan-ba-dinh
6.0,Bắc Ninh,223.0,Quận Hoàng Mai,10108.0,101.0,Phường Nguyễn Trung Trực,1010111,10101,bac-ninh,quan-hoang-mai,phuong-nguyen-trung-truc,ha-noi,quan-ba-dinh
7.0,Bến Tre,811.0,Quận Đống đa,10109.0,101.0,Phường Ngọc Hà,1010113,10101,ben-tre,quan-dong-da,phuong-ngoc-ha,ha-noi,quan-ba-dinh
8.0,Bình Định,507.0,Quận Thanh Xuân,10111.0,101.0,Phường Đội Cấn,1010115,10101,binh-dinh,quan-thanh-xuan,phuong-doi-can,ha-noi,quan-ba-dinh
9.0,Bình Dương,711.0,Quận Cầu Giấy,10113.0,101.0,Phường Kim Mã,1010117,10101,binh-duong,quan-cau-giay,phuong-kim-ma,ha-noi,quan-ba-dinh
10.0,Bình Phước,707.0,Huyện Sóc sơn,10115.0,101.0,Phường Giảng Võ,1010119,10101,binh-phuoc,huyen-soc-son,phuong-giang-vo,ha-noi,quan-ba-dinh
11.0,Bình Thuận,715.0,Huyện Đông Anh,10117.0,101.0,Phường Thành Công,1010121,10101,binh-thuan,huyen-dong-anh,phuong-thanh-cong,ha-noi,quan-ba-dinh
12.0,Cà Mau,823.0,Huyện Gia Lâm,10119.0,101.0,Phường Điện Biên,1010123,10101,ca-mau,huyen-gia-lam,phuong-dien-bien,ha-noi,quan-ba-dinh
13.0,Cần Thơ,815.0,Huyện Từ Liêm,10121.0,101.0,Phường Quán Thánh,1010125,10101,can-tho,huyen-tu-liem,phuong-quan-thanh,ha-noi,quan-ba-dinh
14.0,Cao Bằng,203.0,Huyện Thanh Trì,10123.0,101.0,Phường Ngọc Khánh,1010127,10101,cao-bang,huyen-thanh-tri,phuong-ngoc-khanh,ha-noi,quan-ba-dinh
15.0,Đà Nẵng,501.0,Huyện Mê Linh,10125.0,101.0,Phường Nhật Tân,1010301,10103,da-nang,huyen-me-linh,phuong-nhat-tan,ha-noi,quan-tay-ho
16.0,Đắk Lắk,605.0,Quận Hà Đông,10127.0,101.0,Phường Tứ Liên,1010303,10103,dak-lak,quan-ha-dong,phuong-tu-lien,ha-noi,quan-tay-ho
17.0,Đắk Nông,606.0,Thị xã Sơn Tây,10129.0,101.0,Phường Quảng An,1010305,10103,dak-nong,thi-xa-son-tay,phuong-quang-an,ha-noi,quan-tay-ho
18.0,Điện Biên,301.0,Huyện Phúc Thọ,10131.0,101.0,Phường Xuân La,1010307,10103,dien-bien,huyen-phuc-tho,phuong-xuan-la,ha-noi,quan-tay-ho
19.0,Đồng Nai,713.0,Huyện Đan Phượng,10133.0,101.0,Phường Bưởi,1010309,10103,dong-nai,huyen-dan-phuong,phuong-buoi,ha-noi,quan-tay-ho
20.0,Đồng Tháp,803.0,Huyện Thạch Thất,10135.0,101.0,Phường Thuỵ Khuê,1010311,10103,dong-thap,huyen-thach-that,phuong-thuy-khue,ha-noi,quan-tay-ho
21.0,Gia Lai,603.0,Huyện Hoài Đức,10137.0,101.0,Phường Phú Thượng,1010313,10103,gia-lai,huyen-hoai-duc,phuong-phu-thuong,ha-noi,quan-tay-ho
22.0,Hà Giang,201.0,Huyện Quốc Oai,10139.0,101.0,Phường Yên Phụ,1010315,10103,ha-giang,huyen-quoc-oai,phuong-yen-phu,ha-noi,quan-tay-ho
23.0,Hà Nam,111.0,Huyện Thanh Oai,10141.0,101.0,Phường Phúc Tân,1010501,10105,ha-nam,huyen-thanh-oai,phuong-phuc-tan,ha-noi,quan-hoan-kiem
24.0,Hà Nội,101.0,Huyện Thường Tín,10143.0,101.0,Phường Hàng Mã,1010503,10105,ha-noi,huyen-thuong-tin,phuong-hang-ma,ha-noi,quan-hoan-kiem
25.0,Hà Tĩnh,405.0,Huyện Mỹ Đức,10145.0,101.0,Phường Hàng Buồm,1010505,10105,ha-tinh,huyen-my-duc,phuong-hang-buom,ha-noi,quan-hoan-kiem
26.0,Hải Dương,107.0,Huyện ứng Hoà,10147.0,101.0,Phường Hàng Đào,1010507,10105,hai-duong,huyen-ung-hoa,phuong-hang-dao,ha-noi,quan-hoan-kiem
27.0,Hải Phòng,103.0,Huyện Phú Xuyên,10149.0,101.0,Phường Hàng Bồ,1010509,10105,hai-phong,huyen-phu-xuyen,phuong-hang-bo,ha-noi,quan-hoan-kiem
28.0,Hậu Giang,816.0,Huyện Ba Vì,10151.0,101.0,Phường Lý Thái Tổ,1010511,10105,hau-giang,huyen-ba-vi,phuong-ly-thai-to,ha-noi,quan-hoan-kiem
29.0,Hòa Bình,305.0,Huyện Chương Mỹ,10153.0,101.0,Phường Hàng Bạc,1010513,10105,hoa-binh,huyen-chuong-my,phuong-hang-bac,ha-noi,quan-hoan-kiem
30.0,Hưng Yên,109.0,Quận Nam Từ Liêm,10155.0,101.0,Phường Chương Dương,1010515,10105,hung-yen,quan-nam-tu-liem,phuong-chuong-duong,ha-noi,quan-hoan-kiem
