STT,DistrictName,ProvinceName,Category,Population,Area,Density
9,An Phú,An Giang,,191328 (8/2009)[2],226,845
104,Châu Đốc,An Giang,thành phố,111267,105,1494
106,Châu Phú,An Giang,,245102,451,543
107,Châu Thành,An Giang,,169723,355,478
125,Chợ Mới,An Giang,,3452,370,934
346,Long Xuyên,An Giang,thành phố,285379,115,2415
451,Phú Tân,An Giang,,221059 (8/2009)[2],314223,704
540,Tân Châu,An Giang,thị xã,171888,1756846,1048
591,Thoại Sơn,An Giang,,180551,469,385
615,Tịnh Biên,An Giang,,120781,356,340
627,Tri Tôn,An Giang,,133109,600,222
20,Bà Rịa,Bà Rịa Vũng Tàu,thành phố,122424 (8/2012)[4],92,1338
105,Châu Đức,Bà Rịa Vũng Tàu,,143306,421,341
134,Côn Đảo,Bà Rịa Vũng Tàu,huyện đảo,5127,75,68
174,Đất Đỏ,Bà Rịa Vũng Tàu,,69502,190,367
339,Long Điền,Bà Rịa Vũng Tàu,,125179,77,1626
445,Phú Mỹ,Bà Rịa Vũng Tàu,thị xã,128205,338,380
686,Vũng Tàu,Bà Rịa Vũng Tàu,thành phố,32215,140,2111
690,Xuyên Mộc,Bà Rịa Vũng Tàu,,134401,642,214
35,Bắc Giang,Bắc Giang,thành phố,157439 (12/2013)[8],67,2358
250,Hiệp Hòa,Bắc Giang,,213002,201,1059
326,Lạng Giang,Bắc Giang,,191048 (9/2010)[48],2398480,797
350,Lục Nam,Bắc Giang,,198358,597,332
351,Lục Ngạn,Bắc Giang,,204416,1012,202
519,Sơn Động,Bắc Giang,,68724,846,81
556,Tân Yên,Bắc Giang,,158547,204,776
666,Việt Yên,Bắc Giang,,159936,172,932
695,Yên Dũng,Bắc Giang,,135075 (9/2010)[48],1859466,726
706,Yên Thế,Bắc Giang,,92702,301,308
13,Ba Bể,Bắc Kạn,,4635,684,68
25,Bạch Thông,Bắc Kạn,,30216,547,55
37,Bắc Kạn,Bắc Kạn,thành phố,3718,137,272
121,Chợ Đồn,Bắc Kạn,,48122,911,53
124,Chợ Mới,Bắc Kạn,,36747,607,61
388,Na Rì,Bắc Kạn,,37472,853,44
403,Ngân Sơn,Bắc Kạn,,2768,646,73
433,Pác Nặm,Bắc Kạn,,30059,475,63
23,Bạc Liêu,Bạc Liêu,thành phố,190045 (2014)[5],175,1077
188,Đông Hải,Bạc Liêu,,14359,562,256
216,Giá Rai,Bạc Liêu,thị xã,137249,354668,398
253,Hoà Bình,Bạc Liêu,,106792,412,259
271,Hồng Dân,Bạc Liêu,,105177,424,248
467,Phước Long,Bạc Liêu,,1177,405,291
675,Vĩnh Lợi,Bạc Liêu,,98155,249,394
39,Bắc Ninh,Bắc Ninh,thành phố,188138 [9],83,3301
211,Gia Bình,Bắc Ninh,,92269,108,855
354,Lương Tài,Bắc Ninh,,96326,106,911
496,Quế Võ,Bắc Ninh,,135938,149,912
603,Thuận Thành,Bắc Ninh,,144536,118,1226
607,Tiên Du,Bắc Ninh,,124396,96,1293
645,Từ Sơn,Bắc Ninh,thị xã,14004,61,2285
703,Yên Phong,Bắc Ninh,,12666,95,133
18,Ba Tri,Bến Tre,,187398,355,528
49,Bến Tre,Bến Tre,thành phố,150530 (4/2013)[11],71,2117
53,Bình Đại,Bến Tre,,132193,401,330
108,Châu Thành,Bến Tre,,157138 (4/2013)[11],225,699
123,Chợ Lách,Bến Tre,,113716 *,168,676
221,Giồng Trôm,Bến Tre,,168744,311,542
